trial name,train acc,train loss,test acc,test loss,time
example 5% noise,0.56,2.060247392482875,0.42,2.0951173210120202,1.8513870239257812
example 10% noise,0.11,2.2791554750608647,0.28,2.2802578380777758,1.998307228088379
example,0.58,1.9639799093408525,0.55,1.9448783828069289,1.8100621700286865
simple 5% noise,0.87,0.42077067343421659,0.9043,0.33470233133732263,193.10263895988464
example,0.55,2.0188706259279527,0.5,1.9892282822748422,1.7840518951416016
example,0.38,2.1153938142120086,0.37,2.1518789827842348,1.7573418617248535
example,0.37,2.1469549300253687,0.36,2.1608817011018626,1.7597651481628418
example,0.51,2.0505410896393181,0.5,2.0429492240340386,1.9632236957550049
example,0.28,2.2901600989742592,0.27,2.2724833036402878,1.8051609992980957
example,0.57,1.8428444050777397,0.51,1.8619165945836733,1.8009648323059082
example,0.45,2.0446763489313593,0,2.0304602389766711,1.7692840099334717
example,0.35,2.2170207761752243,0.32,2.2049067525453374,1.7664296627044678
example,0.45,2.1522008176331964,0.42,2.1584314629107055,1.7923943996429443
example,0.68,1.636097759734926,0.68,1.6071382158917191,1.7750039100646973
example,0.37,2.1659435997655474,0.44,2.1379349975593942,1.8885221481323242
example,0.39,2.1681319043169975,0.33,2.2002182498127589,1.7823150157928467
example,0.39,2.1681319043169975,0.33,2.2002182498127589,1.7823150157928467
example,0.41,2.1738825328587383,0.41,2.1881520007613431,1.7560250759124756
example,0.28,2.2475507664326617,0.19,2.2554531523512309,1.7864010334014893
example,0.72,1.3804678357007965,0.7,1.4195726408202092,1.773125171661377
example,0.5,2.111705855979777,0.42,2.0927971623716859,1.7583870887756348
example,0.35,2.1747865142058718,0.4,2.1735519041647873,1.7650692462921143
example,0.62,1.890709481855138,0.69,1.8781447091858987,1.799607276916504
example,0.36,2.2231603813913901,0.31,2.2363356103331564,1.7792892456054688
example,0.35,2.1412521901632853,0.49,2.0890060230369603,1.7864603996276855
example,0.28,2.1702666402087094,0.38,2.1286587386497264,1.754875898361206
example,0.46,2.1556410232610741,0.48,2.1329833376569001,1.7687535285949707
example,0.5,2.0600736577507619,0.48,2.0368913457937108,1.7707910537719727
example,0.47,2.2053715643623604,0.36,2.2266765636395589,1.7837140560150146
example,0.31,2.2399995147988641,0.31,2.2432549817544905,1.7726051807403564
example,0.51,1.9223955843186045,0.48,1.8919026275046742,1.7754778861999512
example,0.38,2.1926022920774093,0.45,2.1749713147573226,1.776960849761963
example,0.66,1.5095468928025102,0.64,1.5342441897818833,1.774425983428955
example,0.22,2.2642271890606649,0.35,2.2443348797873837,1.7852060794830322
example,0.39,2.172104204155568,0.39,2.1805819999719107,1.759213924407959
example,0.1,2.2976486542615207,0.19,2.2899381914670194,1.800954818725586
example,0.47,2.0443809106361588,0.42,2.0590404975698036,1.7562541961669922
example,0.38,2.1983319840551796,0.41,2.1680842135284952,1.7811648845672607
example,0.4,2.1583727692622254,0.34,2.1715428815195521,1.768397331237793
example,0.12,2.2969106397532482,0.15,2.2920498270139609,1.8021843433380127
example,0.26,2.2652479145431532,0.4,2.2510555002657902,1.7509169578552246
example,0.54,1.9412930663212487,0.54,1.9024924242834382,1.7584192752838135
example,0.92,0.24515831885167327,0.9099,0.30104482289009882,182.51557302474976
example,0.81,0.54306961159880085,0.912,0.31149301185177775,181.97226905822754
